"REF_DATE","GEO","DGUID","Farm type","Highest level of educational attainment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada","2016A000011124","All farm types","All educational attainments","Farm operators","372","units ","0","v1001441838","1.1.1","270715","","","","0"
"2016","Canada","2016A000011124","All farm types","No certificate, diploma or degree","Farm operators","372","units ","0","v1001441839","1.1.2","49915","","","","0"
"2016","Canada","2016A000011124","All farm types","Secondary (high) school diploma or equivalency certificate ","Farm operators","372","units ","0","v1001441840","1.1.3","77705","","","","0"
"2016","Canada","2016A000011124","All farm types","Apprenticeship or trades certificate or diploma ","Farm operators","372","units ","0","v1001441841","1.1.4","37920","","","","0"
"2016","Canada","2016A000011124","All farm types","College, CEGEP or other non-university certificate or diploma","Farm operators","372","units ","0","v1001441842","1.1.5","56735","","","","0"
"2016","Canada","2016A000011124","All farm types","University certificate or diploma below bachelor level","Farm operators","372","units ","0","v1001441843","1.1.6","9315","","","","0"
"2016","Canada","2016A000011124","All farm types","University certificate, diploma or degree at bachelor level or above ","Farm operators","372","units ","0","v1001441844","1.1.7","39125","","","","0"
"2016","Canada","2016A000011124","Beef cattle ranching and farming, including feedlots  [112110]","All educational attainments","Farm operators","372","units ","0","v1001441845","1.2.1","49460","","","","0"
"2016","Canada","2016A000011124","Beef cattle ranching and farming, including feedlots  [112110]","No certificate, diploma or degree","Farm operators","372","units ","0","v1001441846","1.2.2","11205","","","","0"
"2016","Canada","2016A000011124","Beef cattle ranching and farming, including feedlots  [112110]","Secondary (high) school diploma or equivalency certificate ","Farm operators","372","units ","0","v1001441847","1.2.3","15860","","","","0"
"2016","Canada","2016A000011124","Beef cattle ranching and farming, including feedlots  [112110]","Apprenticeship or trades certificate or diploma ","Farm operators","372","units ","0","v1001441848","1.2.4","6630","","","","0"
"2016","Canada","2016A000011124","Beef cattle ranching and farming, including feedlots  [112110]","College, CEGEP or other non-university certificate or diploma","Farm operators","372","units ","0","v1001441849","1.2.5","9335","","","","0"
"2016","Canada","2016A000011124","Beef cattle ranching and farming, including feedlots  [112110]","University certificate or diploma below bachelor level","Farm operators","372","units ","0","v1001441850","1.2.6","1450","","","","0"
"2016","Canada","2016A000011124","Beef cattle ranching and farming, including feedlots  [112110]","University certificate, diploma or degree at bachelor level or above ","Farm operators","372","units ","0","v1001441851","1.2.7","4975","","","","0"
"2016","Canada","2016A000011124","Dairy cattle and milk production  [112120]","All educational attainments","Farm operators","372","units ","0","v1001441852","1.3.1","17840","","","","0"
"2016","Canada","2016A000011124","Dairy cattle and milk production  [112120]","No certificate, diploma or degree","Farm operators","372","units ","0","v1001441853","1.3.2","3430","","","","0"
"2016","Canada","2016A000011124","Dairy cattle and milk production  [112120]","Secondary (high) school diploma or equivalency certificate ","Farm operators","372","units ","0","v1001441854","1.3.3","4625","","","","0"
"2016","Canada","2016A000011124","Dairy cattle and milk production  [112120]","Apprenticeship or trades certificate or diploma ","Farm operators","372","units ","0","v1001441855","1.3.4","2840","","","","0"
"2016","Canada","2016A000011124","Dairy cattle and milk production  [112120]","College, CEGEP or other non-university certificate or diploma","Farm operators","372","units ","0","v1001441856","1.3.5","5195","","","","0"
"2016","Canada","2016A000011124","Dairy cattle and milk production  [112120]","University certificate or diploma below bachelor level","Farm operators","372","units ","0","v1001441857","1.3.6","470","","","","0"
"2016","Canada","2016A000011124","Dairy cattle and milk production  [112120]","University certificate, diploma or degree at bachelor level or above ","Farm operators","372","units ","0","v1001441858","1.3.7","1280","","","","0"
"2016","Canada","2016A000011124","Hog and pig farming  [1122]","All educational attainments","Farm operators","372","units ","0","v1001441859","1.4.1","4620","","","","0"
"2016","Canada","2016A000011124","Hog and pig farming  [1122]","No certificate, diploma or degree","Farm operators","372","units ","0","v1001441860","1.4.2","995","","","","0"
"2016","Canada","2016A000011124","Hog and pig farming  [1122]","Secondary (high) school diploma or equivalency certificate ","Farm operators","372","units ","0","v1001441861","1.4.3","1260","","","","0"
"2016","Canada","2016A000011124","Hog and pig farming  [1122]","Apprenticeship or trades certificate or diploma ","Farm operators","372","units ","0","v1001441862","1.4.4","665","","","","0"
"2016","Canada","2016A000011124","Hog and pig farming  [1122]","College, CEGEP or other non-university certificate or diploma","Farm operators","372","units ","0","v1001441863","1.4.5","1120","","","","0"
"2016","Canada","2016A000011124","Hog and pig farming  [1122]","University certificate or diploma below bachelor level","Farm operators","372","units ","0","v1001441864","1.4.6","125","","","","0"
"2016","Canada","2016A000011124","Hog and pig farming  [1122]","University certificate, diploma or degree at bachelor level or above ","Farm operators","372","units ","0","v1001441865","1.4.7","455","","","","0"
"2016","Canada","2016A000011124","Poultry and egg production  [1123]","All educational attainments","Farm operators","372","units ","0","v1001441866","1.5.1","6875","","","","0"
"2016","Canada","2016A000011124","Poultry and egg production  [1123]","No certificate, diploma or degree","Farm operators","372","units ","0","v1001441867","1.5.2","1095","","","","0"
"2016","Canada","2016A000011124","Poultry and egg production  [1123]","Secondary (high) school diploma or equivalency certificate ","Farm operators","372","units ","0","v1001441868","1.5.3","1925","","","","0"
"2016","Canada","2016A000011124","Poultry and egg production  [1123]","Apprenticeship or trades certificate or diploma ","Farm operators","372","units ","0","v1001441869","1.5.4","905","","","","0"
"2016","Canada","2016A000011124","Poultry and egg production  [1123]","College, CEGEP or other non-university certificate or diploma","Farm operators","372","units ","0","v1001441870","1.5.5","1560","","","","0"
"2016","Canada","2016A000011124","Poultry and egg production  [1123]","University certificate or diploma below bachelor level","Farm operators","372","units ","0","v1001441871","1.5.6","210","","","","0"
"2016","Canada","2016A000011124","Poultry and egg production  [1123]","University certificate, diploma or degree at bachelor level or above ","Farm operators","372","units ","0","v1001441872","1.5.7","1185","","","","0"
"2016","Canada","2016A000011124","Sheep and goat farming  [1124]","All educational attainments","Farm operators","372","units ","0","v1001441873","1.6.1","4510","","","","0"
"2016","Canada","2016A000011124","Sheep and goat farming  [1124]","No certificate, diploma or degree","Farm operators","372","units ","0","v1001441874","1.6.2","685","","","","0"
"2016","Canada","2016A000011124","Sheep and goat farming  [1124]","Secondary (high) school diploma or equivalency certificate ","Farm operators","372","units ","0","v1001441875","1.6.3","1075","","","","0"
"2016","Canada","2016A000011124","Sheep and goat farming  [1124]","Apprenticeship or trades certificate or diploma ","Farm operators","372","units ","0","v1001441876","1.6.4","595","","","","0"
"2016","Canada","2016A000011124","Sheep and goat farming  [1124]","College, CEGEP or other non-university certificate or diploma","Farm operators","372","units ","0","v1001441877","1.6.5","1160","","","","0"
"2016","Canada","2016A000011124","Sheep and goat farming  [1124]","University certificate or diploma below bachelor level","Farm operators","372","units ","0","v1001441878","1.6.6","180","","","","0"
"2016","Canada","2016A000011124","Sheep and goat farming  [1124]","University certificate, diploma or degree at bachelor level or above ","Farm operators","372","units ","0","v1001441879","1.6.7","815","","","","0"
"2016","Canada","2016A000011124","Other animal production [1129]","All educational attainments","Farm operators","372","units ","0","v1001441880","1.7.1","28850","","","","0"
"2016","Canada","2016A000011124","Other animal production [1129]","No certificate, diploma or degree","Farm operators","372","units ","0","v1001441881","1.7.2","4775","","","","0"
"2016","Canada","2016A000011124","Other animal production [1129]","Secondary (high) school diploma or equivalency certificate ","Farm operators","372","units ","0","v1001441882","1.7.3","7580","","","","0"
"2016","Canada","2016A000011124","Other animal production [1129]","Apprenticeship or trades certificate or diploma ","Farm operators","372","units ","0","v1001441883","1.7.4","3970","","","","0"
"2016","Canada","2016A000011124","Other animal production [1129]","College, CEGEP or other non-university certificate or diploma","Farm operators","372","units ","0","v1001441884","1.7.5","6320","","","","0"
"2016","Canada","2016A000011124","Other animal production [1129]","University certificate or diploma below bachelor level","Farm operators","372","units ","0","v1001441885","1.7.6","870","","","","0"
"2016","Canada","2016A000011124","Other animal production [1129]","University certificate, diploma or degree at bachelor level or above ","Farm operators","372","units ","0","v1001441886","1.7.7","5335","","","","0"
"2016","Canada","2016A000011124","Oilseed and grain farming [1111]","All educational attainments","Farm operators","372","units ","0","v1001441887","1.8.1","85095","","","","0"
"2016","Canada","2016A000011124","Oilseed and grain farming [1111]","No certificate, diploma or degree","Farm operators","372","units ","0","v1001441888","1.8.2","15160","","","","0"
"2016","Canada","2016A000011124","Oilseed and grain farming [1111]","Secondary (high) school diploma or equivalency certificate ","Farm operators","372","units ","0","v1001441889","1.8.3","26965","","","","0"
"2016","Canada","2016A000011124","Oilseed and grain farming [1111]","Apprenticeship or trades certificate or diploma ","Farm operators","372","units ","0","v1001441890","1.8.4","11290","","","","0"
"2016","Canada","2016A000011124","Oilseed and grain farming [1111]","College, CEGEP or other non-university certificate or diploma","Farm operators","372","units ","0","v1001441891","1.8.5","17335","","","","0"
"2016","Canada","2016A000011124","Oilseed and grain farming [1111]","University certificate or diploma below bachelor level","Farm operators","372","units ","0","v1001441892","1.8.6","3640","","","","0"
"2016","Canada","2016A000011124","Oilseed and grain farming [1111]","University certificate, diploma or degree at bachelor level or above ","Farm operators","372","units ","0","v1001441893","1.8.7","10710","","","","0"
"2016","Canada","2016A000011124","Vegetable and melon farming [1112]","All educational attainments","Farm operators","372","units ","0","v1001441894","1.9.1","8010","","","","0"
